180	0.649
185 	0.663 
190	0.678 
195	0.693 
200	0.708 
205	0.726 
210	0.743 
215	0.768
220	0.794 
225	0.815 
230	0.836 
235	0.857 
240	0.877 
245	0.886 
250	0.895 
255	0.904
260	0.912 
265	0.915 
270	0.918 
275	0.921 
280	0.924 
285	0.925 
290	0.926 
295	0.927
300	0.928 
305	0.929 
310	0.929 
315	0.929 
320	0.930 
325	0.929 
330	0.928 
335	0.928
340	0.927 
345	0.925 
350	0.924 
355	0.922 
360	0.921 
365	0.919 
370	0.916 
375	0.914
380	0.912 
385	0.909 
390	0.906 
395	0.903 
400	0.899 
405	0.896 
410	0.892 
415	0.889
420	0.886 
425	0.882 
430	0.879 
435	0.875 
440	0.872 
445	0.869 
450	0.865 
455	0.862
460	0.858 
465	0.854 
470	0.850 
475	0.847 
480	0.843 
485	0.839 
490	0.835 
495	0.832
500	0.828 
505	0.825 
510	0.823 
515	0.820 
520	0.818 
525	0.815 
530	0.812 
535	0.810
540	0.807 
545	0.805 
550	0.802 
555	0.801 
560	0.799 
565	0.798 
570	0.797 
575	0.796
580	0.794 
585	0.793 
590	0.792 
595	0.791 
600	0.789 
605	0.789 
610	0.788 
615	0.788
620	0.788
625	0.787 
630	0.787 
635	0.786 
640	0.786 
645	0.785 
650	0.785 
655	0.785
660	0.785 
665	0.785 
670	0.785 
675	0.784 
680	0.784 
685	0.784 
690	0.784 
695	0.784
700	0.784 

