180	0.000;
180     7.807; 
180     14.751;
180     20.937;
180     26.459;
180     31.392;
180     35.804;
180     39.754;
180     43.289;
180     46.454;
180     49.290;
180     51.830;
180     54.059;
180     55.983;
180     57.675;
180     59.169;
180     60.502;
180     61.703;
180     62.798;
180     63.806;
180     64.748;
180     65.639;
180     66.476;
180     67.262;
180     67.976;
180     68.626;
180     69.226;
180     69.751;
180     70.205;
180     70.595;
180     70.922;
180     71.199;
180     71.435;
180     71.635;
180     71.801;
180     71.942;
180     72.059;
180     72.161;
180     72.250;
180     72.325;
180     72.388;
180     72.443;
180     72.493;
180     72.540;
180     72.583;
180     72.621;
180     72.658;
180     72.691;
180     72.721;
180     72.749;
180     72.774;


185     0.000;
185     7.807;
185     14.751;
185     20.937;
185     26.459;
185     31.392;
185     35.804;
185     39.754;
185     43.289;
185     46.454;
185     49.290;
185     51.830;
185     54.059;
185     55.983;
185     57.675;
185     59.169;
185     60.502;
185     61.703;
185     62.798;
185     63.806;
185     64.748;
185     65.639;
185     66.476;
185     67.262;
185     67.976;
185     68.626;
185     69.226;
185     69.751;
185     70.205;
185     70.595;
185     70.922;
185     71.199;
185     71.435;
185     71.635;
185     71.801;
185     71.942;
185     72.059;
185     72.161;
185     72.250;
185     72.325;
185     72.388;
185     72.443;
185     72.493;
185     72.540;
185     72.583;
185     72.621;
185     72.658;
185     72.691;
185     72.721;
185     72.749;
185     72.774;

